Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0,53341049;0,370000005;-1,325000048;1,539000034;2,06423018
0,538443721;0,393999994;-1,48300004;1,720999956;2,305724607
0,543477188;0,160999998;-1,753000021;1,809000015;2,524165432
0,548510419;0,004;-1,74000001;1,575999975;2,347635397
0,553543673;-0,119000003;-1,754999995;1,337000012;2,209469397
0,558576981;-0,273999989;-1,50999999;0,934000015;1,796533327
0,563610212;-0,324000001;-1,241000056;0,508000016;1,379536573
0,568643443;-0,388999999;-0,980000019;0,179000005;1,06946811
0,573676673;-0,573000014;-0,651000023;-0,338;0,93079216
0,578710135;-0,55400002;-0,219999999;-0,739000022;0,94944039
0,583743337;-0,63499999;0,088;-0,963;1,156865587
0,588776568;-0,771000028;0,442999989;-1,024999976;1,35695062
0,593809889;-0,880999982;0,797999978;-0,947000027;1,51979406
0,598843351;-0,904999971;0,916999996;-0,805000007;1,519190229
0,603876626;-0,79400003;1,046000004;-0,515999973;1,410959966
0,608909856;-0,54400003;1,001000047;-0,414000005;1,212160521
0,61394312;-0,282999992;0,911000013;-0,215000004;0,977872702
0,618976351;0,004;0,851000011;-0,128999993;0,860731094
0,624009582;0,340000004;0,913999975;0,057999998;0,976913484
0,629042822;0,623000026;0,861000001;0,07;1,0650587
0,634076053;0,890999973;0,930999994;0,196999997;1,303629909
0,639109515;1,072000027;1,034999967;0,263000011;1,513135154
0,644142745;1,243000031;1,11500001;0,152999997;1,676807412
0,649176053;1,319000006;1,136000037;0,129999995;1,74561081
0,654209274;1,299000025;1,029999971;0,041999999;1,658331995
0,659242736;1,248999953;1,055999994;-0,050000001;1,63634864
0,664275966;1,238000035;1,07099998;-0,284999996;1,661598641
0,669309197;1,031000018;0,987999976;-0,391000003;1,480535711
0,674342438;1,019000053;0,898000002;-0,509000003;1,450464104
0,679375669;0,947000027;0,760999978;-0,515999973;1,319918933
0,684408976;0,723999977;0,677999973;-0,749000013;1,242924354
